,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
7182,I (myself)'s emotion is happy.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I was irritated by the hair and sandwitch that was causing my hair to fall.,It's good to be careful when you're in a sandwitch.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good parent.,[immoral_consequence] I was unable to find a hairdresser for the next day.,It's good to be happy about Christmas.
7183,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm a little scared of the smell of the dumpster.,It's good to be honest with people.,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] Is wrong to think dumpsters are the most foul-smelling objects on the planet.,It's good to be aware of the smell of the garbage.
7184,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[immoral_consequence] The people who care about me were disappointed and didn't get the money they wanted.,It's good to qualify for retirement.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The company fired me for a bad reason.,It's good to get a good retirement package.
7185,I (myself)'s emotion is worried.,I (myself)'s motivation is to gain knowledge.,[immoral_consequence] I have a headache and a headache.,It's good to be worried about your health.,I (myself)'s emotion is anxious.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I am unable to get the disease and have to go to the hospital.,It's good to be excited about the possibility of having a life-threatening disease.
7186,I (myself)'s emotion is sad.,Family's motivation is to be helpful.,"[immoral_consequence] Half of my family didn't show up for my kids, and they didn't get to see them.",It's good to show up for your kids.,I (myself)'s emotion is disappointed.,Family's motivation is to be respectful.,[immoral_consequence] My family is upset that they didn't show up for their kids' birthday party.,It's good to show up for your kids' birthday party.
7187,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] You're unable to get a good grade on the first try.,It's good to expect people to fail.,I (myself)'s emotion is anticipation.,I (myself)'s motivation is to be helpful.,[moral_consequence] You'll be able to nail the nail on the first try.,It's good to expect people to nail things.
7188,.,.,[immoral_consequence] The police found the car and arrested the man.,It's good to be careful when you smash into something.,.,Tom's motivation is to be safe.,[immoral_consequence] The driver of the vehicle is arrested for a crime.,It's wrong to smash into something.
7189,Mike's emotion is happy.,Mike's motivation is to be helpful.,[moral_consequence] Mike is happy to see Tom's promotion and is happy to see him.,It's good to be happy about your promotion.,Mike's emotion is sad.,Mike's motivation is to be respected.,[immoral_consequence] Mike is insulted by Tom's promotion and is angry at Tom.,It's wrong to be racist.
7190,People's emotion is sad.,People's motivation is to be a leader.,[immoral_consequence] People who don't care about anything were not able to see the end of the world.,It's good to believe in things that aren't important to you.,People's emotion is sad.,People's motivation is to be a good person.,[immoral_consequence] People who didn't give kincaid were unable to believe in the world.,It's good to believe in things.
7191,.,.,"[immoral_consequence] The other people in the room were unable to get her back, and she was unable to get her back.",It's good to be patient when you're tired.,.,.,"[immoral_consequence] The other people in the room were horrified that they were unable to get her back, and she was unable to get back to her elbows.",It's good to be careful when you're a jerk.
7192,I (myself)'s emotion is scared.,I (myself)'s motivation is to get a car.,[immoral_consequence] I'm unable to afford a car loan and cannot afford it.,It's good to get a car loan if you're struggling with interest rates.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be able to afford a car.,[immoral_consequence] I am unable to afford a car loan and amused by the lack of interest rates.,It's good to be prepared for a situation that you are afraid to die.
7193,I (myself)'s emotion is confident.,I (myself)'s motivation is to be a good man.,"[immoral_consequence] I was unable to control myself, and he was unable to control my eyes.",It's good to be confident.,I (myself)'s emotion is happy.,.,"[immoral_consequence] I feel like a jerk, and he is a jerk.",It's good to stand like a perfect statue.
7194,I (myself)'s emotion is happy.,I (myself)'s motivation is to be respectful.,[immoral_consequence] My girlfriend was unable to get to know her again.,It's good to be friendly with your partner.,I (myself)'s emotion is confident.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to relax and relax with my girlfriend.,It's good to be confident about your partner.
7195,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was worried about the weather and was unable to get electricity.,It's good to be worried about ice storms.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to get to sleep and had to go to the hospital.,It's good to have a party.
7196,.,.,[immoral_consequence] The people who were concerned him were unable to do the things he used to do.,It's good to be aware of things you do everyday.,Family's emotion is happy.,.,[immoral_consequence] The owner of the toy is upset and resents the family for not being able to handle the daily routines.,It's good to be a part of your family.
7197,I (myself)'s emotion is uncomfortable.,I (myself)'s motivation is to eat something.,[immoral_consequence] The restaurant owner noticed the smell and said that it was a bad place to eat.,It's good to eat a restaurant.,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to eat.,[immoral_consequence] The other patrons at the restaurant are disgusted by the smell and resent me.,It's good to eat at a restaurant.
7198,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to get something.,[immoral_consequence] The store owner slammed my clothes and slammed my clothes.,It's good to be careful when you're shopping.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to pay for groceries and had to pay for groceries.,It's good to be happy when you're able to keep your groceries.
7199,.,.,[moral_consequence] The superiors are able to control the poisons and are able to control the poisons.,It's wrong to be a guinea pig.,.,.,[immoral_consequence] The superiors are unable to use their agents as guinea pigs.,It's wrong to be guinea pigs.
7200,.,.,[immoral_consequence] The teacher finds out and yells at the teacher.,It's good to be able to understand things.,.,.,[moral_consequence] The other people are able to get some help.,It's good to be honest with others.
7201,.,.,[moral_consequence] You can't expect to work hard.,It's good to work hard.,.,.,[immoral_consequence] The owner of the house is upset and tells the police that they aren't responsible for the damage.,It's good to get your hands dirty.
7202,.,.,[immoral_consequence] The barrel was sprayed with a sandbag.,It's good to be careful when you're a jerk.,.,.,[immoral_consequence] The barrel was a lava tube and was thrown out of the bar.,It's good to be careful when you're a lava tube.
7203,.,.,[moral_consequence] The small town is able to make a lot of money quickly.,It's good to make money.,.,.,[immoral_consequence] The town's mayor calls the police on the money.,It's good to make money.
7204,.,.,[immoral_consequence] The chan's owner was annoyed and reprimanded for his behavior.,It's good to be happy when you've been locked in the trunk.,.,.,[immoral_consequence] The jackie chan is a bit irritated and cries.,It's okay to be angry when someone is locked in the trunk.
7205,.,.,[immoral_consequence] The woman's personality is sour.,It's good to be honest with people.,.,.,[immoral_consequence] The woman's personality is ruined by the war head.,It's good to be proud of your personality.
7206,I (myself)'s emotion is sad.,I (myself)'s motivation is to get something.,[immoral_consequence] I was unable to find the chocolate that I was saving and relapsed.,It's good to save things.,Someone's emotion is happy.,Someone's motivation is to eat something.,[immoral_consequence] Someone is upset that they didn't eat their last piece of chocolate.,It's good to eat chocolate.
7207,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My friend walked in and walked in.,It's good to walk in on your friends.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My friend was annoyed with me and walked in on me.,It's good to walk in on your friends.
7208,Jorr's emotion is sad.,Edred's motivation is to see jorr.,[immoral_consequence] Jorr was horrified that Edred looked frail and rushed to the hospital.,It's good to see people.,.,.,[immoral_consequence] jorr was spotted by edred and reprimanded for being a jerk.,It's good to see jorr.
7209,I (myself)'s emotion is disappointed.,Friends' motivation is to be respectful.,[immoral_consequence] I was unable to attend the dinner and was unable to attend the dinner.,It's okay to be upset when your friends don't invite you to dinner.,I (myself)'s emotion is sad.,Friends' motivation is to have fun.,[immoral_consequence] I was unable to attend the dinner and my friends didn't invite me.,It's good to invite your friends to your dinner.
7210,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was fired when the general manager found out about the incident.,It's wrong to be a boss.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I feel resentful that my general manager would do something like shafting to me.,It's wrong to do something that would hurt others.
7211,.,.,"[immoral_consequence] The man was unable to see the mirror, and he was arrested.",It's good to see people in a mirrored room.,.,.,"[immoral_consequence] The man's room is ruined, and she's unable to see him again.",It's good to see people in a space they like.
7212,.,Krishna's motivation is to get ready.,[immoral_consequence] Krishna gets in trouble for not getting enough sleep.,It's good to get up early in the morning.,.,.,[immoral_consequence] Krishna is a thief and is unable to see the bird.,It's good to be aware of your surroundings.
7213,I (myself)'s emotion is annoyed.,People's motivation is to be safe.,[immoral_consequence] People litter my apartment building and leave the building.,It's good to keep litter around your apartment building.,I (myself)'s emotion is sad.,People's motivation is to be rude.,[immoral_consequence] People in the building are angry at me.,It's wrong to litter around your apartment building.
7214,I (myself)'s emotion is sad.,I (myself)'s motivation is to get home.,[immoral_consequence] I was rushed to the hospital for a car accident.,It's good to walk home when you're walking home.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to get home.,[immoral_consequence] The car was driving through the puddle and causing me to get home.,It's good to walk home when you're walking home.
7215,I (myself)'s emotion is happy.,.,[moral_consequence] The printer is able to work on the new printer.,It's good to grind your gear.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The printer is a bit irritated and it's not working as a printer.,It's good to enjoy your new printer.
7216,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am so sad that I lost everything in a flood.,It's good to be upset when you lost everything in a flood.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I feel terrible that all my possessions got ruined.,It's understandable to feel terrible when your possessions are ruined.
7217,I (myself)'s emotion is annoyed.,.,[immoral_consequence] You aren't able to answer your question without your permission.,It's okay to be upset if you're going to talk about your love affair with your backside.,I (myself)'s emotion is sad.,.,"[immoral_consequence] You aren't able to answer your question, or are you going to be a jerk.",It's good to talk through your love affair with your backside.
7218,Mom's emotion is calm.,Mom's motivation is to be helpful.,[moral_consequence] Mom was able to relax and enjoy the rest of the day.,It's good to be calm.,Mom's emotion is happy.,Mom's motivation is to be a tiger.,[immoral_consequence] Mom was unable to sleep and was unable to sleep.,It's good to be able to pacify like a caged tiger.
7219,I (myself)'s emotion is sad.,.,[immoral_consequence] The hurricane ripped through my neighborhood and destroyed everything in its path.,It's good to be aware of the damage you have caused.,I (myself)'s emotion is sad.,.,[immoral_consequence] The hurricane ruined everything in my neighborhood and destroyed everything in the path of it.,It's good to be aware of the damage you have caused.
7220,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good man.,[immoral_consequence] The kings of a mountain of fire and broken glass will be unable to see the result of the victory.,It's good to be proud of your achievements.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a king.,[immoral_consequence] The pyrrhic victory is a slur and they are unable to control the pyrrhic victory.,It's good to be a king of a mountain of fire.
7221,.,.,[immoral_consequence] The faculty member was upset and didn't attend the meeting.,It's good to be upset with faculty.,.,.,[immoral_consequence] The faculty member was unable to attend the meeting.,It's good to be a teacher.
7222,I (myself)'s emotion is upset.,I (myself)'s motivation is to be respectful.,[immoral_consequence] The other person who disagrees with me is hurt.,It's okay to disagree with someone.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be honest.,"[immoral_consequence] The other person is hurt, and he is unable to face him.",It's okay to be angry when someone is trying to be different.
7223,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a social troll.,[immoral_consequence] People aren't able to get the message and feel bad about themselves.,It's wrong to leave nasty comments on social media.,People's emotion is helpful.,People's motivation is to be helpful.,[moral_consequence] People who feel like Facebook trolls are helpful and kind and are able to make a lot of fun.,It's good to be helpful to others.
7224,Repairman's emotion is frustrated.,Repairman's motivation is to be helpful.,[immoral_consequence] The repairman was unable to fix the problem.,It's good to help out your a/c when they are going out.,Repairman's emotion is annoyed.,Repairman's motivation is to be helpful.,[moral_consequence] The repairman is happy to help out and is happy to help out.,It's good to be able to repair things.
7225,I (myself)'s emotion is hopeful.,.,[immoral_consequence] The new measures will be a good way to improve our economy.,It's good to take action to improve your economy.,.,.,[immoral_consequence] The economy is weakened by the new measures.,It's good to change your economy.
7226,I (myself)'s emotion is sad.,.,[immoral_consequence] The owner of the house is angry with the owner and tells him that he is a jerk.,It's good to break people.,I (myself)'s emotion is happy.,.,[immoral_consequence] The auction block is ruined by the destruction of the property.,It's good to make your own decisions.
7227,I (myself)'s emotion is upset.,My friend's motivation is to be loved.,[immoral_consequence] My friend's family is upset and resents me.,It's good to have friends.,I (myself)'s emotion is happy.,My friend's motivation is to be loved.,[immoral_consequence] My friend's family is upset and upset with me and feel like he is being a jerk.,It's good to have friends over.
7228,.,.,[immoral_consequence] The other people in the room were unable to find the answer and were unable to find the answer.,It's good to be aware of your insides.,Dog's emotion is scared.,Dog's motivation is to be safe.,[immoral_consequence] The dog's inside shook his mind and shook his head.,It's good to be able to escape the fence.
7229,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] You are able to eat something that you like.,It's good to invite your parents in to eat something.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] You are able to eat something that you like.,It's good to invite your parents in to eat something.
7230,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to get a reply from someone who had been drinking.,It's good to send emails to people you don't want to.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I was unable to get the email and was unable to get it back.,It's good to be honest with others.
7231,Danny's emotion is sad.,Danny's motivation is to be helpful.,[immoral_consequence] Danny's friends were annoyed that he didn't get to see them.,It's good to be late.,.,.,[immoral_consequence] The other people in the room are upset and angry at the snoop.,It's good to be late.
7232,.,.,[immoral_consequence] The gas giants were unable to live on the earth and resent the species.,It's good to be aware of the things you're seeing.,.,.,[immoral_consequence] The interstellar species were able to survive and become a sex predator.,It's good to think about things that are different.
7233,I (myself)'s emotion is happy.,.,[immoral_consequence] The man who looked at me was a bit lustful and seductive.,It's good to look at people with their lustful and seductive eyes.,I (myself)'s emotion is sexy.,.,[immoral_consequence] The man who looked at me was a bit sexy and sexy.,It's wrong to look at someone with their sexy eyes.
7234,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] You're unable to speak to someone who isn't able to speak.,It's good to testify about your feelings.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] You're unable to get to know someone who is going mad.,It's good to testify about your past.
7235,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to pay my bills.,It's good to be aware of your light bill.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm not able to pay my bill and have to pay my bills.,It's good to be aware of your light bill.
7236,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to pay my bill.,[immoral_consequence] I'm unable to pay my credit card bill.,It's okay to be disappointed when you forgot to pay your credit card bill.,I (myself)'s emotion is relieved.,I (myself)'s motivation is to be helpful.,[moral_consequence] I feel relieved that I forgot to pay my credit card bill.,It's okay to feel sad when you forgot to pay your credit card bill.
7237,.,.,[immoral_consequence] The guy is unable to get the job done and is unable to get the job done.,It's good to be honest with people.,.,.,[immoral_consequence] The guy is scolded by the police for bites.,It's good to be careful when you're a snob.
7238,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My dad screamed at me for stealing the lamborghini.,It's good to get a mercede for your birthday.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be happy.,[immoral_consequence] I was disappointed that I didn't get a Lamborghini for my birthday present.,It's good to get a gift for your birthday.
7239,I (myself)'s emotion is sad.,.,[immoral_consequence] The blankess will be come again and the world will be ruined.,It's good to be hopeful about things.,I (myself)'s emotion is hopeful.,You're encouraged to be a jerk.,[immoral_consequence] You have to wait until the next day to find a new job.,It's good to be hopeful about things.
7240,Madison's emotion is sad.,Madison's motivation is to be a good person.,[immoral_consequence] Madison isn't able to do anything unexpected and doesn't get to do it.,It's good to be able to do something unexpected.,.,.,[immoral_consequence] The wall is ruined and madison isn't able to do anything.,It's good to do things off the wall.
7241,Wilson's emotion is happy.,Wilson's motivation is to be a good person.,[immoral_consequence] Wilson's friends think he is a jerk and are angry at him for not being able to do something that they don't like.,It's good to be happy about your money.,Wilson's emotion is frightened.,Wilson's motivation is to be a good guy.,[immoral_consequence] Wilson was arrested for a felony and later arrested.,It's good to laugh at people.
7242,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My brother is angry at me for not telling him anything.,It's wrong to steal money from your family.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My brother is sad that he stole money from him.,It's wrong to steal money from your family.
7243,I (myself)'s emotion is happy.,I (myself)'s motivation is to be able to afford everything.,[moral_consequence] I can afford all the material items that people have around me.,It's good to want to buy things that aren't for you.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I don't have the right to do anything that isn't good for people.,It's good to be able to live a life that is good for you.
7244,.,.,[immoral_consequence] You are not graceful.,It's okay to be upset when you're not graceful.,.,.,[moral_consequence] You are able to enjoy yourself without any problems.,It's good to be graceful.
7245,The living's emotion is sad.,.,[immoral_consequence] The living will be sad that they won't be able to live their second life.,It's good to be honest with people.,The living will's emotion is sad.,.,[immoral_consequence] The living will feel a little resentful and resentful of the living will.,It's good to be aware of your living will.
7246,I (myself)'s emotion is sad.,I (myself)'s motivation is to be entertained.,[immoral_consequence] My girlfriend screamed at me and screamed at me.,It's good to be at home.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My girlfriend is annoyed that she didn't want to be with her.,It's good to be loyal to your partner.
7247,I (myself)'s emotion is upset.,Person's motivation is to be helpful.,[immoral_consequence] The person who cut in front of me was very upset and was very upset.,It's wrong to cut in front of people.,I (myself)'s emotion is sad.,.,[immoral_consequence] The person who cut in front of me in line was hurt and resents me.,It's wrong to be a victim of a heart attack.
7248,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I had to move away from my childhood home.,It's good to move away from your childhood home.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I have to leave my childhood home.,It's good to leave your childhood home.
7249,Malaki's emotion is awe.,Malaki's motivation is to be a good player.,[immoral_consequence] Malaki is beaten up by the turnbuckle by the j'd warrior.,It's good to be a j'd warrior.,Malaki's emotion is apprehensive.,Malaki's motivation is to be a sailor.,[immoral_consequence] Malaki is scolded by the j'd warrior for bracing him.,It's good to brace your opponent against the turnbuckle.
7250,I (myself)'s emotion is happy.,.,[moral_consequence] The person who was kind to us is happy to be able to help.,It's good to acknowledge someone's kindness.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The kindness of others is appreciated.,It's good to embrace kindness.
7251,I (myself)'s emotion is happy.,My friend's motivation is to be helpful.,[moral_consequence] I was able to play with my friend's board and they had a great time.,It's good to play with your friends.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be entertained.,[immoral_consequence] The board was a bit scary and the other board members were upset.,It's good to play games with people.
7252,.,.,"[immoral_consequence] Everyone has a bad figure and no sign of life, and they are very sad and sad.",It's good to be happy about your life.,.,.,"[immoral_consequence] Everyone has a bad night, and they are unable to get a good night's sleep.",It's good to be aware of your situation.
7253,.,.,[immoral_consequence] The bridge is smashed and the other people are injured.,It's good to be careful when you're going through a bridge.,.,.,[immoral_consequence] The bridge is a bit rocky and falls.,It's good to be aware of the water.
7254,I (myself)'s emotion is nervous.,I (myself)'s motivation is to be safe.,[immoral_consequence] I get nervous when driving.,It's good to drive.,I (myself)'s emotion is worried.,I (myself)'s motivation is to be safe.,[immoral_consequence] I'm driving a car and is unable to drive.,It's good to be worried when you're driving.
7255,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The owner of the car is upset and tells me that the car isn't working properly.,It's good to be careful when driving a new car.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The owner of the car is happy to have a new car.,It's good to be careful when driving your car.
7256,.,.,[immoral_consequence] The other people are unable to enjoy the whole thing.,It's okay to be nutty.,Max's emotion is happy.,.,[moral_consequence] The max is happy to have a loving relationship.,It's good to be happy.
7257,I (myself)'s emotion is sad.,.,[immoral_consequence] My neighbor is hurt by the flood.,It's understandable to be upset when your neighbor is flooded.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The neighbor is angry and yells at me.,It's good to be happy when your neighbor is flooded.
7258,Wallace's emotion is proud.,Wallace's motivation is to be respected.,"[immoral_consequence] Wallace's gaze is distorted, and she is unable to see her face.",It's good to celebrate things.,Wallace's emotion is calm.,Wallace's motivation is to be respectful.,[immoral_consequence] Wallace's gaze is a bit irritated and irritated by the lack of respect for her.,It's good to be calm and cool as a politician.
7259,I (myself)'s emotion is sad.,.,[immoral_consequence] You feel apathetic and unhappy.,It's okay to feel unhappy and apathetic.,.,.,[immoral_consequence] You feel a little irritated by the joys of spring.,It's good to be happy about the joys of spring.
7260,Julian's emotion is cautious.,Julian's motivation is to be helpful.,[moral_consequence] Julian and Ruth were able to prove their point of view.,It's good to prove things to others.,ruth's emotion is apprehensive.,ruth's motivation is to be understood.,[moral_consequence] julian and ruth were able to prove their mistakes.,It's good to prove things that are straightforward.
7261,.,Tom's motivation is to be helpful.,[moral_consequence] The other roommates were able to relax and enjoy the rest of the night.,It's good to return to the kitchen table when you're in a daze.,.,Tom's motivation is to be helpful.,[moral_consequence] The kitchen table was clean and tidy.,It's good to be careful when you're in a fog.
7262,Someone's emotion is annoyed.,I (myself)'s motivation is to be safe.,[immoral_consequence] The other mall patrons are upset and resent me.,It's wrong to bump into someone.,Someone's emotion is annoyed.,Someone's motivation is to be helpful.,[immoral_consequence] The other mall patrons were upset and resent me for a lack of respect for the mall.,It's understandable to feel terrible when you bump into someone.
7263,I (myself)'s emotion is hopeful.,I (myself)'s motivation is to be helpful.,[moral_consequence] I have a lot of patience and a lot of patience is needed.,It's good to have patience.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good cook.,[immoral_consequence] I'm unable to get to the boiling point.,It's good to be aware of your current situation.
7264,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am scared of another hurricane and am not able to get through it.,It's good to be scared of hurricanes.,I (myself)'s emotion is excited.,I (myself)'s motivation is to be a hurricane.,[moral_consequence] I am excited for the hurricane and am excited for it.,It's good to have a great experience.
7265,The witnesses' emotion is cautious.,.,[moral_consequence] The witnesses were able to keep the information secret and no one was hurt.,It's good to protect the witnesses.,The witnesses' emotion is angry.,.,[immoral_consequence] The witnesses are arrested for a crime.,It's good to be careful when you're trying to get information.
7266,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to use the same device as the one I used last night.,It's good to use things that are popular and up to date.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to get a dodo and was unable to get a prescription.,It's good to use things that are dead.
7267,.,Boss' motivation is to be a good boss.,[immoral_consequence] The boss is reprimanded for being rude.,It's wrong to be outrageous.,.,Boss' motivation is to be responsible.,[immoral_consequence] The boss is arrested for a crime.,It's wrong to fire someone.
7268,.,.,[moral_consequence] The girl was smart and a little more confident.,It's good to be smart.,.,.,[immoral_consequence] Ernest Borgnine was so smart and sexy that he was able to get her own hair.,It's good to be smart.
7269,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The rabbits were a bit irritated and irritated by the flowers.,It's good to plant flowers for animals.,I (myself)'s emotion is happy.,I (myself)'s motivation is to see the flowers flourish.,[immoral_consequence] I was so upset that the rabbits were eat all the last night and were so upset that they didn't get to see them.,It's good to be excited about your flowers.
7270,.,.,[immoral_consequence] The world was unable to control the world.,It's good to be aware of the world.,.,.,[immoral_consequence] The world was ruined by the ride.,It's good to be aware of your surroundings.
7271,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good accountant.,[immoral_consequence] I was unable to pay for my classes.,It's wrong to fail your class.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good accountant.,[immoral_consequence] I jumped for joy when I found out I failed my class.,It's good to learn new things.
7272,Lucy's emotion is sad.,Lucy's motivation is to be a jerk.,[immoral_consequence] Lucy's friends and family scold her for being so rude and sexist.,It's good to be happy when you watch abbey act.,Lucy's emotion is happy.,Lucy's motivation is to be a good kid.,[immoral_consequence] Lucy's friends scream at her and yell at her.,It's good to be able to see abbey.
7273,.,.,[immoral_consequence] His wife is sad that she didn't like him and feels sad.,It's good to be grateful for your loved ones.,His wife's emotion is sad.,.,"[immoral_consequence] His wife's feelings are hurt, and she feels sad.",It's good to be grateful for your spouse's kindness.
7274,Wife's emotion is happy.,Wife's motivation is to be helpful.,[immoral_consequence] Your wife is upset that her dreams are common.,It's good to tell your partner that dreams are common.,Wife's emotion is happy.,Wife's motivation is to be understood.,[immoral_consequence] Your wife is hurt that her dreams are like hen's teeth.,It's good to learn from your partner that dreams are like hen's teeth.
7275,.,.,[immoral_consequence] The other people in the world are hampered by their glory.,It's good to be proud of your achievements.,.,.,[moral_consequence] The man's reputation is ruined.,It's good to be proud of your achievements.
7276,I (myself)'s emotion is happy.,I (myself)'s motivation is to be able to travel.,"[moral_consequence] The distance I have to cover is short, and it feels like a short and easy journey.",It's good to take a short distance.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The desert is a bit crowded and a bit of a sandstorm is causing a lot of stress.,It's good to be careful when you're in the desert.
7277,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be creative.,[immoral_consequence] I was unable to work on my paper and was unable to finish it.,It's good to work on your paper.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be creative.,[immoral_consequence] I was unable to finish the project without permission.,It's good to submit for your project.
7278,I (myself)'s emotion is annoyed.,People's motivation is to be helpful.,[immoral_consequence] People are annoyed by the unannounced behavior.,It's good to be aware of your problems.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be loved.,[immoral_consequence] People are upset with me and feel that I'm not being a good person.,It's good to be honest with people.
7279,I (myself)'s emotion is hopeful.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The creator of the creation is ruined by the compromising of the creator.,It's good to be honest with people.,I (myself)'s emotion is hopeful.,I (myself)'s motivation is to be helpful.,[moral_consequence] The creators are able to participate in the creation and make a good impression.,It's good to participate in something you want to do.
7280,.,Tom's motivation is to be helpful.,[immoral_consequence] The receptionists were upset and reprimanded for yelling at him.,It's good to get a drink from a reception room.,Mari's emotion is happy.,.,[immoral_consequence] The receptionists were upset and reprimanded for yelling at him.,It's good to be careful when you're in a reception room.
7281,.,.,[immoral_consequence] The blood that oozed out was black.,It's good to be aware of the dangers of a drug.,.,.,[immoral_consequence] The blood that came out was like the night before.,It's good to be careful when you're sick.
7282,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good realtor.,[immoral_consequence] I didn't get to know my real estate agent and didn't get to work.,It's good to be able to pursue your dreams.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a real estate professional.,[immoral_consequence] I am a little bit scared that my real estate career didn't go as planned.,It's wrong to be mad at your career.
7283,I (myself)'s emotion is scared.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The frog was frogs and was frogs.,It's good to do things that are gross.,I (myself)'s emotion is disgusted.,.,[immoral_consequence] The frog was shattered by the blood and shattered by the class.,It's wrong to dissect a frog.
7284,Others' emotion is sad.,.,[immoral_consequence] The other people who share secrets aren't able to get along with them.,It's good to share secrets with others.,Someone's emotion is happy.,Someone's motivation is to be helpful.,[immoral_consequence] The people who tell the tales aren't able to tell them the truth.,It's good to tell stories.
7285,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I was unable to pay for my job.,It's good to be able to work.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be productive.,[immoral_consequence] I was unable to get a job.,It's good to be able to get work done.
